"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\resources\js\Components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 4, 57
"c:\laragon\www\formation-doctorat\resources\js\Components\ModalMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\laragon\www\formation-doctorat\resources\js\Components\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 3, 49
"c:\laragon\www\formation-doctorat\resources\js\Components\NavItems.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\laragon\www\formation-doctorat\resources\js\Components\NavLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"c:\laragon\www\formation-doctorat\resources\js\Components\PdfModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 2, 2, 23
"c:\laragon\www\formation-doctorat\resources\js\Components\Pdf\CandidateTableRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"c:\laragon\www\formation-doctorat\resources\js\Components\Pdf\CandidateThesisApplicationsTablePDF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 1, 5, 51
"c:\laragon\www\formation-doctorat\resources\js\Components\Pdf\PersonalInfoLayoutPDF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 4, 66
"c:\laragon\www\formation-doctorat\resources\js\Components\Pdf\SummaryPDF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 2, 4, 35
"c:\laragon\www\formation-doctorat\resources\js\Components\PrimaryButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\laragon\www\formation-doctorat\resources\js\Components\ResponsiveNavLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\laragon\www\formation-doctorat\resources\js\Components\RoleBasedNavigation\RoleBasedNavigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 2, 60
